color,team_name,team_region,core_shots,core_goals,core_saves,core_assists,core_score,core_shooting_percentage,winner
blue,GROUND ZERO GAMING,Oceania,13,2,3,1,921,15.384615384615383,True
orange,RANGA ROUNDUP,Oceania,4,1,10,0,1068,25.0,False
blue,GROUND ZERO GAMING,Oceania,10,4,3,3,1283,40.0,True
orange,RANGA ROUNDUP,Oceania,6,2,5,1,1023,33.33333333333333,False
blue,GROUND ZERO GAMING,Oceania,11,3,2,3,1201,27.27272727272727,True
orange,RANGA ROUNDUP,Oceania,5,2,6,2,1048,40.0,False
blue,RENEGADES,Oceania,14,8,2,8,1938,57.14285714285714,True
orange,TRIDENT ESPORTS,Oceania,3,0,5,0,630,0.0,False
blue,RENEGADES,Oceania,14,6,2,6,1567,42.85714285714285,True
orange,TRIDENT ESPORTS,Oceania,5,2,6,1,1038,40.0,False
blue,RENEGADES,Oceania,18,7,6,7,2166,38.88888888888889,True
orange,TRIDENT ESPORTS,Oceania,8,2,5,2,998,25.0,False
blue,DIRE WOLVES,Oceania,14,2,1,2,836,14.285714285714285,True
orange,TEAM EROS,Oceania,3,1,7,1,1043,33.33333333333333,False
blue,DIRE WOLVES,Oceania,11,7,4,4,1732,63.63636363636363,True
orange,TEAM EROS,Oceania,6,2,2,2,993,33.33333333333333,False
blue,DIRE WOLVES,Oceania,10,0,6,0,1062,0.0,False
orange,TEAM EROS,Oceania,9,1,7,0,1377,11.11111111111111,True
blue,DIRE WOLVES,Oceania,11,3,2,3,1014,27.27272727272727,True
orange,TEAM EROS,Oceania,6,2,7,1,1144,33.33333333333333,False
blue,WILDCARD GAMING,Oceania,16,6,1,3,1569,37.5,True
orange,BIG GOOSE,Oceania,5,3,9,3,1527,60.0,False
blue,WILDCARD GAMING,Oceania,22,10,5,9,2670,45.45454545454545,True
orange,BIG GOOSE,Oceania,7,2,8,1,1113,28.57142857142857,False
blue,WILDCARD GAMING,Oceania,8,3,4,2,1149,37.5,True
orange,BIG GOOSE,Oceania,6,1,4,1,899,16.666666666666664,False
blue,FORKIDDEN,Oceania,8,2,7,1,1131,25.0,True
orange,RANCID RATS REBORN,Oceania,9,0,4,0,720,0.0,False
blue,FORKIDDEN,Oceania,14,4,1,4,1318,28.57142857142857,True
orange,RANCID RATS REBORN,Oceania,1,0,8,0,895,0.0,False
blue,FORKIDDEN,Oceania,8,1,10,1,1171,12.5,True
orange,RANCID RATS REBORN,Oceania,11,0,4,0,749,0.0,False
blue,VORT CENTRAL,Oceania,7,3,5,2,1250,42.85714285714285,True
orange,BANDITS ESC,Oceania,8,2,3,2,1047,25.0,False
blue,VORT CENTRAL,Oceania,6,1,3,1,825,16.666666666666664,False
orange,BANDITS ESC,Oceania,8,4,4,2,1401,50.0,True
blue,VORT CENTRAL,Oceania,6,1,5,1,885,16.666666666666664,False
orange,BANDITS ESC,Oceania,8,3,4,3,1279,37.5,True
blue,VORT CENTRAL,Oceania,2,0,6,0,899,0.0,False
orange,BANDITS ESC,Oceania,8,1,2,1,733,12.5,True
blue,DIRE WOLVES,Oceania,6,0,4,0,691,0.0,False
orange,WILDCARD GAMING,Oceania,7,2,6,1,1035,28.57142857142857,True
blue,DIRE WOLVES,Oceania,10,4,6,3,1367,40.0,False
orange,WILDCARD GAMING,Oceania,13,6,5,5,1586,46.15384615384615,True
blue,DIRE WOLVES,Oceania,8,2,2,1,871,25.0,False
orange,WILDCARD GAMING,Oceania,5,3,5,2,1136,60.0,True
blue,R!OT GAMING,Oceania,14,2,2,1,897,14.285714285714285,True
orange,FORKIDDEN,Oceania,3,1,8,1,1026,33.33333333333333,False
blue,R!OT GAMING,Oceania,4,2,5,2,1092,50.0,True
orange,FORKIDDEN,Oceania,7,1,2,1,766,14.285714285714285,False
blue,R!OT GAMING,Oceania,10,4,7,3,1575,40.0,True
orange,FORKIDDEN,Oceania,13,2,5,2,1074,15.384615384615383,False
blue,RENEGADES,Oceania,9,1,2,0,745,11.11111111111111,False
orange,BANDITS ESC,Oceania,4,2,7,2,1194,50.0,True
blue,RENEGADES,Oceania,11,6,3,5,1576,54.54545454545454,True
orange,BANDITS ESC,Oceania,8,3,4,3,1111,37.5,False
blue,RENEGADES,Oceania,19,3,7,2,1988,15.789473684210526,True
orange,BANDITS ESC,Oceania,9,2,11,2,2145,22.22222222222222,False
blue,RENEGADES,Oceania,7,1,7,1,1121,14.285714285714285,True
orange,BANDITS ESC,Oceania,7,0,6,0,790,0.0,False
blue,THE GROGANS,Oceania,8,1,6,1,1044,12.5,False
orange,GROUND ZERO GAMING,Oceania,8,2,5,2,1111,25.0,True
blue,THE GROGANS,Oceania,8,0,6,0,925,0.0,False
orange,GROUND ZERO GAMING,Oceania,8,1,6,1,1257,12.5,True
blue,THE GROGANS,Oceania,10,1,5,1,1151,10.0,True
orange,GROUND ZERO GAMING,Oceania,6,0,7,0,1067,0.0,False
blue,THE GROGANS,Oceania,3,1,7,0,992,33.33333333333333,True
orange,GROUND ZERO GAMING,Oceania,9,0,1,0,552,0.0,False
blue,THE GROGANS,Oceania,3,0,1,0,469,0.0,False
orange,GROUND ZERO GAMING,Oceania,7,3,3,1,1019,42.85714285714285,True
blue,RANGA ROUNDUP,Oceania,9,1,2,1,732,11.11111111111111,False
orange,TRIDENT ESPORTS,Oceania,6,2,3,1,863,33.33333333333333,True
blue,RANGA ROUNDUP,Oceania,7,3,2,2,1107,42.85714285714285,True
orange,TRIDENT ESPORTS,Oceania,6,1,3,0,856,16.666666666666664,False
blue,RANGA ROUNDUP,Oceania,7,0,3,0,676,0.0,False
orange,TRIDENT ESPORTS,Oceania,7,2,4,2,1103,28.57142857142857,True
